Question,Answering,URL,Label,size_of_the_prompt_tokens,number_of_completion_tokens,number_of_ttotal_tokens,total_cost,zero-shot-chatgpt_response
What is a roommate agreement?,"A roommate agreement is a document all members of the apartment/suite/room abide by during their time living in the space. Contents of the agreement are determined by the roommates and cover multiple areas, including cleaning tasks, taking out the trash and guest policies.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"A roommate agreement is a legally binding contract between people who share a living space. It outlines the expectations and responsibilities of each individual, such as rent, utilities, chores, quiet hours, guests, and more. A well-written roommate agreement can help prevent conflict and misunderstandings, while also providing a framework for resolving disputes."
How do I set up a roommate agreement?,"At the beginning of each academic year, Peer Advisors will coordinate with residents to complete a roommate agreement for the apartment/suite/room. If a new resident moves in, Peer Advisors will work with the student to set up or reevaluate the roommate agreement as necessary.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I don't have personal experience on setting up a roommate agreement. However, here are some general steps to guide you in setting up a roommate agreement:

1. Initiate the conversation: Start by discussing with your roommates about the need for a roommate agreement to help establish expectations and prevent disputes.

2. Determine key issues: Discuss the issues that concern everyone, such as rent payment, bills, guests, cleaning responsibilities, and noise levels.

3. Draft the agreement: Put in writing an agreement that covers all the issues discussed. Both you and your roommates should agree to the terms and sign the document.

4. Review and negotiate: Review the agreement and identify areas that may need further negotiation. Make sure everyone agrees to the final version.

5. Enforce the agreement: Establish a date for implementing the agreement and hold everyone accountable to it. Regularly review and update the agreement as needed.

Note that this is just a general guide, and you may want to consult a lawyer or mediator to help you create a formal and legally-binding roommate agreement."
How can I get involved in University Housing?,"Residential Life sponsors two student organizations in University Housing:

    Residential Housing Association (RHA)
    National Residence Housing Honorary (NRHH)

Both organizations provide students with leadership opportunities in the residence halls and apartments.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have preferences, but here are some ways for you to get involved in University Housing:

1. Become a resident assistant (RA): RAs act as a leader and mentor for fellow students living in the residence halls. They help plan events and create a supportive community for students living on campus.

2. Join a hall council: Hall councils are groups of students who plan events and activities for their respective halls. This is a great way to get involved in your community and make connections with other students.

3. Participate in housing committees: Many universities have committees made up of students, staff, and faculty who work together to improve the housing experience for students. Ask your housing office about how you can join a committee.

4. Volunteer at housing events: Many housing events such as move-in day or community service projects rely on volunteers to make them successful. Check with your housing office about how you can help out.

5. Attend housing meetings and forums: Housing offices often host meetings and forums to update students on housing policies and to hear feedback about their experience. Attend these events to get involved and share your thoughts."
How can I become a Peer Advisor (PA)?,"The Peer Advisor application process begins at the end of the fall semester, with applications due in January. If you are interested in becoming a PA, contact housing@utdallas.edu. Check out our Facebook page for details.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"There are several steps you can take to become a Peer Advisor (PA):

1. Check if your school or organization has a Peer Advisor program – if they do, look up their requirements and application process.

2. If there isn't a program available, consider proposing the idea to your school or organization. Gather a group of interested peers, research programs at other schools, and develop a proposal to present to the administration.

3. Build a strong academic and extracurricular profile. Many PA programs require a minimum GPA and a record of leadership or involvement in activities.

4. Develop strong interpersonal skills. Peer Advisors serve as mentors and resources for their peers, so strong communication and empathy skills are essential.

5. Participate in training and orientation programs. Most PA programs offer training on campus policies, resources, and leadership development.

6. Stay informed about campus events, activities, and resources. Peer Advisors must be knowledgeable about their campus and resources in order to help their peers navigate college life.

7. Network and build relationships with university staff and other Peer Advisors. Peer Advisors can often connect their peers to staff members and resources, so it's helpful to have a strong network."
How do I request a housing accommodations based on documented disabilities or medical conditions?,"UT Dallas provides reasonable housing accommodations for students with documented disabilities or medical conditions. If you have a disability and want to request housing accommodations, please visit the Office of Student Accessibility website.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"To request housing accommodations based on documented disabilities or medical conditions, follow these steps:

1. Provide documentation: Provide documentation from a medical professional that outlines your disability or medical condition and how it affects your ability to live in your current housing situation.

2. Contact your housing provider: Contact your landlord or property manager and explain your situation. Let them know that you are requesting a reasonable accommodation and provide them with the documentation you have gathered.

3. Submit a request: Submit a written request for a reasonable accommodation that outlines your disabilities or medical conditions and the specific accommodation you are requesting.

4. Follow up: Follow up with your housing provider to ensure that they have received your request and to make sure that they are taking appropriate action.

5. Seek legal assistance: If your housing provider fails to accommodate your request, you may need to seek legal assistance. Contact a local fair housing agency or an attorney who specializes in disability rights to explore your options."
How does a student organization reserve a room in University Housing?,"Registered student organizations can reserve the Residence Hall South Classroom, Residence Hall South Multipurpose Room, and Residence Hall South Rotunda. Student organizations must make the reservation through the UT Dallas Room Reservation System.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have access to specific information on University Housing policies and procedures. It is best to check with the housing office or student activities department at your university for information on how to reserve a room for a student organization. Generally, universities have an online reservation system or a designated staff member who handles room reservations for student organizations. The process may involve completing a room reservation form, specifying the date, time and purpose of the event, and agreeing to any associated fees or rules."
How does a student reserve a room in University Commons?,Students may reserve a room for a personal event in the residence hall in which they reside. Reservation requests must be received at least five business days prior to the event date. Contact Ashleigh Beckmann to make the reservation.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I can provide general steps that may help a student reserve a room in University Commons. Here are the steps that a student could follow:

1. Check the university's website for information on the room reservation process at University Commons.

2. Register for a student account online through the University Commons website. Follow the prompts to complete your registration.

3. Log in to your University Commons account and browse the available rooms.

4. Select the room you would like to reserve and check its availability.

5. Follow the prompts to apply for the room reservation. You may need to submit some personal information like name, student ID, contact details, and estimated check-in and check-out dates.

6. Pay the required reservation fee to confirm the room reservation.

7. Check your email or University Commons account for the confirmation of your room reservation.

If you encounter any issues, concerns, or questions during the room reservation process, it is recommended to contact the University Commons office or customer service for assistance."
How does a department reserve a room in University Housing?,Departments can make room reservations for student-focused events by contacting Ashleigh Beckmann.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I don't have personal experience attending a University, but here's the general process that most universities follow:

1. Determine the specific room needed for the event or function.

2. Contact the University Housing department through the appropriate channels, such as phone or online reservation system.

3. Fill in and submit the online application form or paperwork to confirm the request.

4. Await response from the Housing Department, who will typically shuttle all the applications through an internal process to prioritize competing demands.

5. Once the request has been approved, the department or group can move forward with planning the event and utilizing the space.

In some cases, there may be fees associated with reserving a room in University Housing, depending on the size, scope or complexity of the event. But in general, the process is straightforward, and once approved, the room is then available for the group's use."
Why do I have to pay for parking? Doesn’t tuition or student fees cover this cost?,"Every student, faculty and staff member must purchase a permit to park on UT Dallas property. UTD Parking & Transportation is self-funded.

Student tuition and fees are not allotted for UTD’s parking budget.

Parking permit sales provide us with the necessary funds to build new parking structures, repave parking lots, improve services and provide general maintenance.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have access to your specific university's policies, but typically, parking fees are charged separately from tuition or student fees because they are considered a service provided by the university. Just like with any other service, such as food or housing, students are expected to pay for what they use. Additionally, the cost of maintaining parking facilities, including security and safety measures, can be significant, and universities may not have the resources to cover these expenses solely through tuition or student fees."
"If I decide to return to campus at a later date, are parking permit prices prorated in cost?","All parking permit purchases are valid from the date of purchase through August 31 of the current academic year. Parking permits are prorated in cost throughout the academic year. For students, parking permits are prorated in December and in May to reflect Spring and Summer prices. For employees, permits are prorated on the first of each month.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have access to specific information about parking permit policies at every institution. However, in general, it depends on the specific policies of the university or college. Some may offer prorated prices for parking permits if a student wishes to return to campus at a later date, while others may not. It's best to check with the parking office or transportation department at the respective institution to get accurate and up-to-date information on their policies."
"If I purchase a parking permit now, can I upgrade or downgrade my permit in the future?","Yes, you may upgrade or downgrade your permit at any time. Upgrades require a one-time additional payment equal to the difference in value between your current and your new permit. Downgrades may be entitled to a refund, depending on your original purchase method. Please contact us for options specific to your account and permit type.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have enough domain knowledge to answer this question. It is recommended that you check with the parking permit provider or the relevant authority for their policy on upgrading or downgrading parking permits."
I am a student living on campus. Can I park more than one vehicle on campus this year?,"No, Apartment and Residence Hall permits are limited to only one permit per resident to ensure parking availability for all students living on campus.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have specific information about the policies and regulations of your campus. Please check with your campus parking office or consult the campus parking policies and regulations to determine if you are allowed to park more than one vehicle on campus."
"I am a commuter student, but I am taking classes mostly online. Do I still need to purchase a parking permit?","When on campus, you must be legally parked at all times to avoid parking citations. When parking on campus, you may either utilize the hourly pay-by-space metered parking spaces, or purchase an annual parking permit.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"It depends on the specific policies of your school. Generally, if you plan to visit campus and need to park your vehicle, you will need a parking permit. However, if all of your classes are exclusively online and you do not need to physically visit campus, then you may not need a parking permit. Check with your school's parking office to confirm their policies regarding parking permits for online students."
How many parking garages are there? Where is PS2? Do I need a separate permit to use the parking garages?,"There are currently three parking structures. PS1 on the east side of campus, PS3 on the north side of campus and PS4 on the west side of campus.

PS2 is not built or available at this time. PS2 is currently still in the planning stage and was not elected to be built at the time of design and construction began on PS3 instead.

Parking structures can be used by any commuter parking permit and no special garage permit is required. Residential permits are not valid in the parking garages.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"I'm sorry, as an AI language model, I do not have access to specific information about parking garages or their locations. Please provide me with more context or details so that I can better assist you."
What if I need to park close to a building to drop off or unload a vehicle?,"Loading zones are available throughout campus. Loading zones may be used without a parking permit for up to 20 minutes as long as you have your emergency flashers engaged on your vehicle. Please do not block roads, reserves spaces, crosswalks, etc. when loading and unloading.

Download a Map of Campus Loading Zones",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"If you need to park close to a building to drop off or unload a vehicle, look for designated loading and unloading zones or accessible parking spaces. These areas are typically marked with signage or painted markings on the ground. Be sure to follow any posted time limits and do not park in areas designated for emergency vehicles or blocked-off areas. It is also important to not leave your vehicle unattended while it is parked in a loading or unloading zone. If no loading or unloading zones are available, you may need to temporarily park in a regular parking spot and move the vehicle as soon as you finish loading or unloading."
Where is the free parking?,"There is no free parking on the UT Dallas campus for students, faculty or staff.

For those wishing to use public transportation, there are nearly 2,000 free parking spaces available at the Cityline/Bush Train Station Park-and-Ride at 1300 E President George Bush Tpke, Richardson, TX 75082. From there, users may ride the Comet Cruiser bus line to campus, free of charge and with no transit pass nor UTD ID required to ride.

Visitors to the campus may obtain a complimentary one-day visitor pass, valid in Visitor or Green spaces, by presenting a valid photo ID at the Visitor Center and University Bookstore (VCB) or at our office. Visitors may receive two free permits per week.

We also have Pay-by-Space credit/debit parking meters available in popular areas such as Lot M-West, Lot G, Lot F and on the first level of each parking structure.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"I'm sorry, I cannot determine the location of free parking without any specific information such as the location or address. Can you provide more details so that I may assist you better?"
How does Visitor parking work?,"Visitors to the campus may obtain a complimentary one-day visitor pass from the Visitor Center or the Parking & Transportation Services office. A current driver’s license must be presented to obtain a visitor pass.

Visitors to the campus may receive two complimentary parking passes per week. This will allow visitors to park in any Visitor or Green space for the date of issuance only.

Visitor permits for the University Commons Residence Halls, University Village Apartments or Canyon Creek Heights Apartments may also be obtained by request.

To obtain a visitor permit for a housing guest, both the guest and the resident need to come to the Parking Office with valid photo IDs and the guest’s license plate information. A housing guest may receive up to two visitor passes per week and two overnight parking passes per month.

Long-term visitor permits (more than two weekdays) can be purchased at prorated rates from our office. Please note that overnight visitors to on-campus housing are limited to two nights per month, unless written permission is obtained from the student’s housing office.

For more convenient parking, we also have Pay-by-Space credit/debit parking meters available in popular areas such as Lot G, Lot F and on the first level of each parking structure.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have personal experience. However, I can provide you with general information regarding visitor parking.

Visitor parking refers to a designated area in a private or public parking lot specifically allotted for individuals visiting a particular location or organization. The parking space assigned for visitors varies depending on the location or organization. In general, it's common practice to reserve areas close to the entrance or exit for visitors.

To utilize visitor parking, visitors must register their vehicles by providing pertinent information such as the make, model and plate number, as well as the duration of the visit. In some cases, visitors may also be required to display a visitor parking pass in their vehicle that can be obtained from a reception area, security booth, or management office.

Visitor parking is often limited to a specific time limit and can come with certain restrictions. For example, visitors may not be allowed to park overnight or occupy multiple spaces. Failing to comply with these rules may result in fines, parking penalties, or even towing of the vehicle.

Overall, visitor parking is a regulated parking space solely intended for short-term visitors or guests to a specific location."
How do I know if there are any parking lot or garage closures?,"We have an active Twitter account, @UTDallasParking, that regularly updates any information on parking or garage closures. We also have Twitter accounts for the Comet Cabs (@UTDCometCab) and the Comet Cruisers (@UTDCometCruiser) where we provide updates on new routes, schedule delays, or route detours or cancellations.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I am not able to provide real-time information about parking lot or garage closures. However, you can check the website or social media pages of the parking lot or garage you plan to visit or call their customer service hotline to inquire about any closures or changes in operating hours. Additionally, you can use parking apps like ParkMe or SpotHero, which provide real-time information about parking availability and potential closures."
How can I purchase a parking permit?,"Permits can be purchased online.

You may also purchase your permit in person at our office. If you will be coming to our office, a valid state-issued photo ID, driver’s license or student ID must be presented.

To purchase a parking permit, you will need to provide your vehicle license plate state and number, vehicle make, model, color, and year. If you purchase your permit in-person at our office, please be advised that we do not accept cash or checks. We only accept debit and credit cards.

Permits are required for all vehicles to park on UT Dallas owned or leased property regardless of whether you are an online student, part-time student, full-time student, faculty, staff or visitor.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"Sorry, I cannot answer this question as the process of purchasing a parking permit varies depending on the location and governing body. Please provide me with more context, such as the location and organization responsible for issuing the parking permit, and I will try to provide more specific information."
What about accessible parking?,"A UT Dallas Accessible Parking Permit, in addition to a state-issued accessible parking placard or license plate, is required to park in accessible parking spaces on campus.

Please see our Accessible Services page for more information.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have personal opinions or personal experiences, but I can give you some general information about accessible parking.

Accessible parking spaces are designated for people with disabilities who have a special permit or license plate. These spaces are wider than regular parking spaces and are often located close to building entrances or elevators. This makes it easier for people with disabilities to access stores, offices, and other public spaces.

Accessible parking spaces are also marked with the International Symbol of Access, which is a white wheelchair on a blue background. It is important to follow the rules and regulations of accessible parking, as individuals who park in these spaces without a permit can be fined or towed."
Why do we have different parking permits?,"Parking designates different lots based on whether students live on campus or commute to campus.

Residential parking is separated between the University Commons Residence Halls, University Village Apartments and Canyon Creek Heights Apartments. Apartment and Residence Hall permits are only valid in their specific lots, as well as Green parking in certain remote parking areas.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"We have different parking permits to allocate parking spaces in a fair and organized manner. Different permits may allow the holder to park in a specific location or at a specific time. For example, a residential parking permit may be required to park on a street in a residential area, while a handicap parking permit allows parking in designated spots closer to buildings for people with disabilities. Additionally, some permits may be issued based on job or student status, such as faculty parking permits or student parking permits. Overall, different permits help regulate parking and prevent overcrowding or illegal parking."
Where You Can Use Residential Parking Permits >,"Housing students may also purchase a commuter Gold or Orange permit if they choose, but they may not park overnight on the main campus and must return to their on-campus housing parking lot at the end of the day.

For commuters, faculty, and staff, parking is on a progressing scale system with Purple being the highest and Green being the lowest.

Purple permits can park in
Purple parking
Orange parking
Gold parking
Green parking
Orange permits can park in
Orange parking
Gold parking
Green parking
Gold permits can park in
Gold parking
Green parking
Green permits can only park in Green parking
Commuter students may purchase Green, Gold, Evening Orange or Orange parking permits. Evening Orange allows you to park in Orange spaces after 5:00 p.m. Before 5:00 p.m., Evening Orange permits may park in only Gold and Green spaces.

Staff and Faculty have access to all commuter colors, but also have the option to purchase Purple permits.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"Residential parking permits are typically issued by local governments to residents of certain neighborhoods or zones in order to allow them to park their vehicles on the street without being ticketed or towed. Here are some common places where you might need or use a residential parking permit:

1. Residential streets - This is the most common use of residential parking permits. If you live in a neighborhood where parking is limited or there are time limits on parking, you may need a permit to park on the street.

2. Commuter lots - Many cities and towns have commuter lots where people can park their cars and take public transit to work. If you live nearby and want to use the lot, you may need a residential parking permit to do so.

3. Business districts - Some cities have designated parking zones for businesses or commercial districts. If you live in one of these zones and want to park on the street during business hours, you may need a permit.

4. Event parking - If there are events or festivals in your area that draw large crowds, parking can be a challenge. Some cities issue temporary residential parking permits for these events to ensure that local residents have priority parking.

Overall, residential parking permits can be useful in many situations where parking is limited or restricted. Check with your local government to see if you are eligible for a permit and to learn more about the specific rules and regulations for parking in your area."
Can I get a parking permit if I have unpaid citations?,"You may purchase a parking permit with unpaid citations, however outstanding citations may result in your account being revoked and your vehicle being immobilized or towed if parked on UT Dallas owned or leased property. If your vehicle is immobilized, your parking privileges are revoked and you may need to pay your citations first before being able to purchase your parking permit.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your personal information such as your location or specific circumstances regarding your parking citations. However, it is best to contact your local DMV or parking authority to inquire about their policies on parking permits and outstanding citations. Some areas may require payment of outstanding fines before issuing a parking permit, while others may offer a payment plan or other options."
What should I do if I have two vehicles? Do I get a second permit for free?,"Only one permit can be purchased per customer via the Parking Portal. Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit.

You may add a vehicle to your account online by selecting the VEHICLES tab. You may also contact the Parking Office via email or visit our office to add a vehicle to your account. If you would like to purchase a second permit so you may park two vehicles on campus at the same time, you may purchase additional permits at the current rate in-person at our office.

Please note that students living on campus may only purchase one permit and may have only one vehicle on campus at a time.
",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have context about what type of permit you are referring to. Please provide more information about the context or the type of permit you are referring to so that I can provide a helpful response."
How many vehicles can I have registered to my account?,"You may have an unlimited amount of vehicles registered on your customer account, but students may have two vehicles registered to their permit, and only one vehicle may be parked on campus at any given time. Employees may have up to five vehicles registered to their permit. Only one vehicle may be parked on campus at a time, and it must have a permit always registered to it for the section where the vehicle is parked.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have access to your specific account information, but in general, it depends on the rules of the jurisdiction where you are registering your vehicles. In most cases, there is no limit to the number of vehicles you can register to your account, but there may be restrictions or additional fees for certain types of vehicles, such as commercial or heavy-duty vehicles. It is best to check with your local DMV or licensing authority for specific regulations in your area."
What should I do if my vehicle is being repaired? What should I do if I have a rental or temporary vehicle?,"Those who are driving a different vehicle and currently have an active parking permit have the option to register their alternate vehicle for the duration they will be driving the vehicle.

Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit.

To remove a vehicle, including rentals and temporary vehicles, you must contact the Parking Office via email, or visit our our office during business hours, and you must provide the vehicle make, model, and license plate number.

All vehicles registered to the permit owner will be the responsibility of the permit owner including all citations the vehicle receives while it is registered to the permit owner.

Current permit holders may also receive up to three one-day passes per semester as an alternative to registering a temporary vehicle. These one-day passes will be valid for the same color of spaces as your permit, and you may receive these by presenting a Comet Card or driver’s license at the Parking Office.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"If your vehicle is being repaired, you should:

1. Communicate with your repair shop: Check in with the repair shop on a regular basis to get updates on the progress of the repairs.

2. Stay organized: Keep all relevant paperwork, receipts, and communication related to the repairs in a safe and easily accessible place.

3. Stay in touch with your insurance company: If the repairs are covered by your insurance, keep your insurance company updated on the status of the repairs.

If you have a rental or temporary vehicle, you should:

1. Understand the terms of your rental agreement: Be familiar with the terms of your rental agreement, including the rental period, any restrictions on use, and your responsibilities as a renter.

2. Keep your insurance up-to-date: Make sure your insurance policy covers rental vehicles and that you have adequate coverage.

3. Take care of the rental vehicle: Treat the rental vehicle as if it were your own, and take care to avoid accidents, damage, or excessive wear and tear."
"Can I share my permit with someone else, or register other people’s vehicles to my permit?","All virtual permits are non-transferable and can only be used by the individual to whom it is assigned, and permits are attached only to the account holder. For customers who share vehicles, both customers must own their own permit, but may register shared vehicles on each individual account. Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit. Parking more than one vehicle on campus at one time may lead to citations for surpassing the vehicle limit of your permit. Any citations issued to a vehicle will be the responsibility of the permit owner.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"No, it is illegal to share a permit or register other people's vehicles to your permit. Each permit is issued for a specific vehicle and registered to a specific person. Sharing a permit or registering other vehicles to it can result in fines or even the revocation of your permit."
"I am a faculty/staff member and I want to get my permit on Payroll Deduction, how does it work?","Eligible faculty and staff should monitor their email for directions and enrollment dates. If you are eligible for Payroll Deduction, you may purchase your permit online and select “Payroll Deduction” as your purchase method at the time of checkout. If you do not see the option for Payroll Deduction, but you believe you are eligible, please contact our office so we can confirm eligibility.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"Typically, getting a parking permit on Payroll Deduction involves completing an application online through your institution's parking website or in-person during designated permit registration periods. You will need to have your employee ID number and may be asked to provide your vehicle information.

Once you have completed the application, you will need to select the Payroll Deduction option as your payment method. This will allow the cost of the permit to be deducted from your paycheck on a regular basis instead of paying in full upfront.

After the application is processed and the permit is issued, you should receive a confirmation email with instructions on how to display your permit in your vehicle.

It is important to note that the availability of Payroll Deduction as a payment option may vary by institution and permit type. Additionally, some institutions may require a minimum number of months to be enrolled in Payroll Deduction before cancelling the contract.

Be sure to review the terms and conditions carefully before signing up for Payroll Deduction to ensure you fully understand the requirements and obligations."
I am joining UT Dallas later in the year. Are prices reduced for those on campus less than a full year?,"All parking permit purchases are valid from the date of purchase through August 31 of the current academic year. Parking permits are prorated in cost throughout the academic year. For students, parking permits are prorated in December and in May to reflect Spring and Summer prices. For employees, permits are prorated on the first of each month.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to information on pricing policies of UT Dallas or any specific institution. It would be best to contact the university directly or check their website for information on pricing policies and discounts."
"I am leaving UT Dallas, or I no longer need my parking permit. Can I get a refund for my parking permit?","If you are a student graduating in fall, or you no longer have a need your permit, you may return the permit for a prorated refund. Returns must be made by the Spring Census Day to be eligible for a refund. Returns after the Spring Census Day will not be approved for a refund.

If you are a faculty or staff member that purchased your permit in full, you may be eligible for a prorated refund when you leave UT Dallas. Permits purchased via Payroll Deduction are not eligible for refunds, but monthly deductions can be canceled by canceling your permit with our office.

You can return your permit by contacting park@.utdallas.edu and requesting a permit return form.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"Yes, UT Dallas provides prorated refunds for unused parking permits. The amount of the refund depends on how much time is left on the permit, and a service fee may be deducted. To request a refund, contact the UT Dallas Parking and Transportation Office."
What are your office hours?,Current Office Hours >,https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have set office hours. I am available 24/7 to answer your queries and provide assistance."
"My family is coming to visit me at my residence, what do I need to do?","If you are resident living in University Village Apartments, Canyon Creek Heights Apartments, or University Commons Residence Halls and you need to arrange parking for a guest visiting your residence, permits can also be requested online in advance and emailed to you as a PDF document that you may email to your guest to be printed. To request an emailed permit, complete a permit request form online two business days in advance of the guest arrival. A visitor parking pass is required Monday-Thursday from 9:00 a.m. - 9:00 p.m. and Friday from 9:00 a.m. - 5:00 p.m. in the housing parking areas.

Non-sponsored visitors to campus may utilize our metered parking available throughout different areas of our campus, or contact park@utdallas.edu for more options.

Please contact the Parking Office for any questions or concerns about visitor parking.

Please note that a visitor permit is not required for Green, University Village Apartments, Canyon Creek Heights Apartments, or University Commons Residence Halls parking areas outside of enforcement hours:

Monday-Thursday from 9:00 a.m. - 9:00 p.m.
Friday from 9:00 a.m. - 5:00 p.m.
A VISITOR PERMIT IS ALWAYS NEEDED DURING THE ABOVE TIMES TO AVOID PARKING CITATIONS",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your personal information or location. However, Here are some general things you can do to prepare for your family's visit:

1. Clean the house: Make sure your house is clean and tidy. You can vacuum the floors, dust the surfaces, and clean the bathrooms. This will give your family a comfortable and welcoming environment to stay in.

2. Stock up on supplies: You should stock up on supplies like toiletries, towels, beddings, and food. Consider what your family likes to eat and drink and make sure you have those items available.

3. Plan activities: Plan some fun activities for your family to do while they are visiting. You can go on a hike, visit local attractions, or play board games.

4. Communication: You should communicate with your family about their needs, preferences, and schedule. Make sure you are prepared to accommodate any requests or preferences they may have.

5. Follow Covid protocols: With the ongoing pandemic, it is important to follow the Covid protocols, such as wearing masks, maintaining social distancing, and washing your hands regularly."
How do I add or update a vehicle on my parking account?,"You may add a vehicle to your account online by selecting the VEHICLES tab. You may also contact the Parking Office via email or visit our office and let us know you want to add a vehicle to your account.

You will need to provide your vehicle’s license plate state and number, make, model, color, and year of your vehicle to add it to your account.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your specific parking account. However, in general, to add or update a vehicle on a parking account, follow these steps:

1. Log in to your account on the parking provider's website or app.
2. Navigate to the ""My Account"" or ""Vehicles"" section.
3. Click ""Add Vehicle"" or ""Edit Vehicle.""
4. Enter the vehicle's information, including make, model, license plate number, and any other relevant details.
5. Click ""Save"" or ""Update"" to save the changes.

If you encounter any issues, reach out to the parking provider's customer support for assistance."
How do I remove a vehicle from my parking account?,"Contact the Parking & Transportation department via via email or visit our office during business hours, and you must provide the vehicle make, model, and license plate number. We cannot remove vehicles over the phone.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your personal information or accounts. However, typically you can remove a vehicle from your parking account by going to the account settings page and selecting the option to manage your vehicles. From there, you should be able to select the vehicle you want to remove and click on the option to delete or remove it from your account. Users should refer to the specific instructions provided by their parking account provider for further assistance."
Where is the Parking Office located?,"We are located in Parking Structure 3 (PS3), at the intersection of Rutford Ave and Loop Road NW on the North end of campus, East of the Residence Halls.

Our physical address is:

800 N. Loop Rd, Richardson TX, 75080.

Our mailing address is:

The University of Texas at Dallas

Parking & Transportation

800 W Campbell Rd, PS3 10

Richardson, TX 75080-3021",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have access to specific information about a particular location. Can you please provide me the name of the city or institution to help you better?"
Why did I get a citation?,"Check the citation in the “Violation” section to see the reasoning. Some citations are warnings only and are used to inform you of a problem. If you feel you do not deserve the citation then you may submit an appeal online. We do not do any in-person appeals.

Any appeal not granted must be paid online or in person at our office. Please be advised, appeals must be submitted within 14 calendar days from the date the citation was issued. However, an appeal does not guarantee an automatic dismissal of the citation.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your personal information or records to determine why you may have received a citation. However, citations are typically issued for violations of laws, regulations, or rules, such as traffic violations, parking violations, or code violations, among others. You may want to review the details of your citation or contact the issuing agency for more information about the specific offense."
